".id","FillerGo.RT","Go.RT","FillerGo.PE","FillerNoGo.PE","Go.PE","NoGo.PE","FillerGo.PC","FillerNoGo.PC","Go.PC","NoGo.PC","goRT_rm","PE_rm"
"18578989",521.25,518.430555555556,0,0.0277777777777778,0,0,1,0.972222222222222,1,1,"0","0"
"190661087",392.027777777778,390.760563380282,0,0,0.0138888888888889,0,1,1,0.986111111111111,1,"0","0"
"193808848",535.171428571429,476.676056338028,0.0277777777777778,0.0277777777777778,0.0138888888888889,0.0138888888888889,0.972222222222222,0.972222222222222,0.986111111111111,0.986111111111111,"0","0"
"194153498",472.527777777778,465.208333333333,0,0.0277777777777778,0,0,1,0.972222222222222,1,1,"0","0"
"19542589",710.25,637.450704225352,0,0.0277777777777778,0.0138888888888889,0.0694444444444444,1,0.972222222222222,0.986111111111111,0.930555555555556,"0","0"
"197796674",682.194444444444,655.281690140845,0,0,0.0138888888888889,0,1,1,0.986111111111111,1,"0","0"
"209134414",508.111111111111,513.3,0,0.111111111111111,0.0277777777777778,0.0138888888888889,1,0.888888888888889,0.972222222222222,0.986111111111111,"0","0"
"209242195",493.416666666667,491.845070422535,0,0.111111111111111,0.0138888888888889,0.0277777777777778,1,0.888888888888889,0.986111111111111,0.972222222222222,"0","0"
"219513433",565.916666666667,556.194444444444,0,0,0,0,1,1,1,1,"0","0"
"231332048",500.527777777778,469.972222222222,0,0.0833333333333333,0,0.0277777777777778,1,0.916666666666667,1,0.972222222222222,"0","0"
"239671458",568.314285714286,548.1,0.0277777777777778,0.0555555555555556,0.0277777777777778,0.0138888888888889,0.972222222222222,0.944444444444444,0.972222222222222,0.986111111111111,"0","0"
"260781576",531.972222222222,515.458333333333,0,0.0277777777777778,0,0,1,0.972222222222222,1,1,"0","0"
"264515770",659.911764705882,620.485294117647,0.0555555555555556,0,0.0555555555555556,0.0138888888888889,0.944444444444444,1,0.944444444444444,0.986111111111111,"0","0"
"265335157",483.371428571429,465.887323943662,0.0277777777777778,0.0277777777777778,0.0138888888888889,0.111111111111111,0.972222222222222,0.972222222222222,0.986111111111111,0.888888888888889,"0","0"
"267950350",505.857142857143,491.112676056338,0.0277777777777778,0.0277777777777778,0.0138888888888889,0.0138888888888889,0.972222222222222,0.972222222222222,0.986111111111111,0.986111111111111,"0","0"
"273401356",468.138888888889,450.333333333333,0,0.0277777777777778,0,0,1,0.972222222222222,1,1,"0","0"
